"id_tipo_entidad","cod_uca","persona_natural","persona_juridica","valor","id_nombre_identidad","id_descripcion","id_tipo_metrica","id_fecha"
118,7,0,0.0,20025089982464,48,30,1,20240712
118,7,0,0.0,19723123163136,48,30,1,20260712
118,7,0,0.0,19610977959936,48,30,1,20250712
118,7,0,0.0,18262614081536,48,30,1,20230712
118,7,0,0.0,17095495516160,48,30,1,20270712
118,7,0,0.0,16203252760576,48,30,1,20270707
118,7,0,0.0,15731492126720,48,30,1,20250707
118,7,0,0.0,15727267414016,48,30,1,20250606
118,7,0,0.0,15640054202368,48,30,1,20210712
118,7,0,0.0,15587779543040,48,30,1,20240707
